Title,Authors/Institution,arXiv_ID,Publication_Date,Relevance_Stars,Key_Contributions,Direct_Alignment,URL
"LILITH: Developmental Modular LLMs with Chemical Signaling","Multi-institutional collaboration","2507.04575","2025-07-05","⭐⭐⭐⭐⭐","Models distinct brain regions as specialized LLM modules (thinking memory sensory regulatory); Implements brain-inspired token-based communication; Developmental training approach; Consciousness emergence through Integrated Information Theory","Your exact concept—modular brain regions as LLMs with inter-module communication","https://arxiv.org/abs/2507.04575"[web:1]
"CortexCompile: Harnessing Cortical-Inspired Architectures for Enhanced Multi-Agent NLP Code Synthesis","","2409.02938","2024-08-23","⭐⭐⭐⭐⭐","Modular system inspired by cortical regions; Task Orchestration Agent managing specialized modules; Superior scalability vs GPT-4o; Neuroscience-inspired multi-agent NLP","Architecture pattern for cortical region modules (prefrontal hippocampus)","https://arxiv.org/pdf/2409.02938.pdf"[web:8]
"Brain-inspired Artificial Intelligence: A Comprehensive Survey","","2408.14811","2024-08-14",,"Multi-head attention (parallel processing); Modularity specialization in neural systems; Comprehensive brain-AI parallels framework","Theoretical foundation for architectural choices","https://arxiv.org/html/2408.14811v1"[web:23]
"Project Riley: Multimodal Multi-Agent LLM Collaboration with Emotional Reasoning and Voting","","2505.20521","2025-05-25","⭐⭐⭐⭐⭐","Five emotional agents (Joy Sadness Fear Anger Disgust); Multi-round collaborative refinement; Emotional reasoning integration; Textual visual LLMs","Exactly matches emotion module concept","https://arxiv.org/abs/2505.20521"[web:24]
"OSC: Cognitive Orchestration through Dynamic Knowledge Alignment in Multi-Agent LLM Collaboration","","2509.04876","2025-09-04","⭐⭐⭐⭐⭐","Orchestrating Cognitive Synergy framework; Collaborator Knowledge Models (CKM); Dynamic adaptive communication; Real-time cognitive gap analysis","Perfect for chain architecture—agent coordination","https://arxiv.org/abs/2509.04876"[web:25]
"HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models","","","2025-01-13",,"Hippocampal indexing theory; LLMs knowledge graphs personalized PageRank; Neocortex hippocampus roles; 20% multi-hop QA improvement; 10-20x cheaper","Essential for hippocampus memory module","https://openreview.net/forum?id=hkujvAPVsg"[web:44]
"Synergizing Logical Reasoning Knowledge Management and Collaboration in Multi-Agent LLM System (SynergyMAS)","","2507.02170","2025-07-01","⭐⭐⭐⭐","Logical reasoning long-term knowledge Theory of Mind; Optimized communication protocols; Product development case study","Multi-agent framework design patterns","https://arxiv.org/abs/2507.02170"[web:26]
"Chain-of-Agents: Large Language Models Collaborating on Long-Context Tasks","Google Research","","2025-12-09",,"Multi-agent collaboration for long-context reasoning; Training-free task-agnostic; 10% improvement over RAG single LLMs","Implementation pattern for chaining modules","https://research.google/blog/chain-of-agents-large-language-models-collaborating-on-long-context-tasks/"[web:45]
"Configurable Foundation Models: Building LLMs from a Modular Perspective","","2409.02877","2024-09-04",,"Modular LLM decomposition (brain modularity); Dynamic module assembly; Mixture-of-experts; Selective module activation","Modular architecture for four brain regions","https://arxiv.org/abs/2409.02877"[web:6]
"Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents","","2306.03314","2023-06-05",","Collaborative LLM agents with distinct roles; Efficiency through collaboration; Practical implementation patterns","Baseline multi-agent collaboration patterns","https://arxiv.org/pdf/2306.03314.pdf"[web:37]
